Title,Titlecontd,ReleaseYear,Locations,ConvertedLocations,Latitude,Longitude,FunFacts,ProductionCompany,Distributor,Director,Writer,Actor1,Actor2,Actor3,SFFindNeighborhoods,AnalysisNeighborhoods,CurrentSupervisorDistricts
Sense8,,2015,"Atlas Café, 3049 20th St.","3049 20th St, San Francisco, CA 94110",37.758938,-122.411428,Dialogue scene inside the café,"Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis,Jamie Clayton,,,53,20,2
Blue Jasmine,,2013,1138 Alabama St,"1138 Alabama St, San Francisco CA",37.753648,-122.411331,,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,53,20,2
Looking,Season 2 ep 205,2015,1119 Alabama Street,"1119 Alabama Street, San Francisco CA",37.753671,-122.410823,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,53,20,2
Budding Prospects,Pilot,2017,2937 24th Street,"2937 24th Street, San Francisco CA",37.752541,-122.410781,,Picrow Streaming Inc.,Amazon,Terry Zwigoff,"Melissa Axelrod, T. C. Boyle (based on the book by)",Adam Rose,Will Sasso,Joel David Moore,53,20,2
Budding Prospects,Pilot,2017,1167 Alabama Street,"1167 Alabama Street, San Francisco CA",37.753271,-122.41074,,Picrow Streaming Inc.,Amazon,Terry Zwigoff,"Melissa Axelrod, T. C. Boyle (based on the book by)",Adam Rose,Will Sasso,Joel David Moore,53,20,2
Blue Jasmine,,2013,2934 24th St.,"2934 24th St., San Francisco CA",37.752895,-122.410632,,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,53,20,2
Looking,,2014,Casa Lucas Market at 2934 24th St,"2934 24th St, San Francisco CA 94110",37.752895,-122.410632,,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,53,20,2
When We Rise,,2017,24th St. between Florida and Alabama,"2917 24th St, San Francisco, CA 94110",37.75248,-122.41054,,Film 49 Productions,Amercian Broadcasting Company,Gus Van Sant,Dustin Lance Black,Guy Pierce,Mary-Louise Parker,Michael Kenneth Williams,53,20,2
Women is Losers,,2020,1132 Florida St,"1132 Florida St, San Francisco CA",37.753779,-122.410444,,Look at the Moon Pictures,,Lissette Feliciano,Lissette Feliciano,Lorenza Izzo,Simu Liu,Liza Weil,53,20,2
Budding Prospects,Pilot,2017,Bernal Heights Boulevard,"Bernal Heights Boulevard, San Francisco CA",37.74158,-122.41024,,Picrow Streaming Inc.,Amazon,Terry Zwigoff,"Melissa Axelrod, T. C. Boyle (based on the book by)",Adam Rose,Will Sasso,Joel David Moore,83,2,2
Murder in the First,Season 1,2014,1821 Alabama Street,"1821 Alabama Street, San Francisco CA",37.744002,-122.41009,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,60,2,2
Cardinal X,,2015,100 Alemany Blvd.,"100 Alemany Blvd., San Francisco CA",37.735759,-122.409888,,Fire Horse Film Productions LLC,,Annie Wang,Annie Wang,Annie Q,Francesca Eastwood,Pierson Fode,83,2,2
Looking,,2014,2866 24th St.,"2866 24th St., San Francisco CA",37.752982,-122.409695,,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,53,20,2
Women is Losers,,2020,2712 Bryant St,"2712 Bryant St, San Francisco CA",37.750881,-122.409263,,Look at the Moon Pictures,,Lissette Feliciano,Lissette Feliciano,Lorenza Izzo,Simu Liu,Liza Weil,53,20,2
Dawn of the Planet of the Apes,,2014,University Club,"University Club, San Francisco CA",37.792202,-122.409165,,"Fox Louisiana Productions, LLC",Twentieth Century Fox,Matt Reeves,Rick Jaffa,Gary Oldman,Keri Russell,Andy Serkis,91,25,2
The Enforcer,,1976,24th Street Mini Park (Mission District),"2824 24th St, San Francisco, CA 94110",37.753052,-122.408712,,Warner Bros. Pictures,Warner Bros. Pictures,James Fargo,Stirling Silliphant,Clint Eastwood,Tyne Daly,Harry Guardino,53,20,2
Sense8,,2015,Harrison,"Harrison, San Francisco CA",37.7731288,-122.4086982,Driving shots,"Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis,Jamie Clayton,,,53,20,2
The Last Black Man in San Francisco,,2019,"Portola Rose Garden, 598 Hamilton St at Woolsey St","598 Hamilton St, San Francisco, CA 94134",37.723705,-122.408554,,"LBMISF, LLC",A46,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert",Jimmie Fails,Jonathan Majors,Danny Glover,91,25,2
Bullitt,,1968,Intersection of York & Peralta (Bernal Heights),"Intersection of York & Peralta (Bernal Heights), San Francisco CA",37.7428195,-122.4085515,,"Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Robert Vaughn,60,2,2
Looking,Season 2 ep 205,2015,24th Between Portrero & Alabama,"2804 24th St, San Francisco, CA 94110",37.752987,-122.408388,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,53,20,2
Women is Losers,,2020,Pop's Bar - 2800 24th St,"Pop's Bar - 2800 24th St, San Francisco CA",37.753019,-122.408388,,Look at the Moon Pictures,,Lissette Feliciano,Lissette Feliciano,Lorenza Izzo,Simu Liu,Liza Weil,53,20,2
Looking,,2014,St. Francis Fountain,"St. Francis Fountain, San Francisco CA",37.752721,-122.408342,,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,53,20,2
A Night Full of Rain,,1978,San Francisco Chronicle (901 Mission Street at 15th Street),"901 Mission Street, San Francisco CA",37.782209,-122.406556,The San Francisco Zodiac Killer of the late 1960s sent his notes and letters to the Chronicle's offices.,Liberty Film,Warner Bros. Pictures,Lina Wertmuller,Lina Wertmuller,Candice Bergen,Giancarlo Gianni,,53,20,2
So I Married an Axe Murderer,,1993,San Francisco Chronicle (901 Mission Street at 15th Street),"901 Mission Street, San Francisco CA",37.782209,-122.406556,The paper is called the San Francisco Globe in the movie.,TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,,53,20,2
Budding Prospects,Pilot,2017,1641 York Street,"1641 York Street, San Francisco CA",37.747319,-122.406232,,Picrow Streaming Inc.,Amazon,Terry Zwigoff,"Melissa Axelrod, T. C. Boyle (based on the book by)",Adam Rose,Will Sasso,Joel David Moore,60,2,2
Magnum Force,,1973,18th Street Overpass (Potrero Hill),"600 San Bruno Ave, San Francisco, CA 94107",37.762066,-122.405237,,The Malpaso Company,Warner Bros. Pictures,Ted Post,John Milius,Clint Eastwood,Hal Holbrook,Mitchell Ryan,53,20,2
Sense8,,2015,22nd St.,"22nd St., San Francisco CA",37.75413,-122.3962,Driving shots,"Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis,Jamie Clayton,,,53,20,2
Sense8,,2015,Harrison & 20th,"Harrison & 20th, San Francisco CA",37.74089,-122.39516,Driving shots,"Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis,Jamie Clayton,,,53,20,2
The OA Part II,,2019,Harrison St to Beale St to Bryant St,"453-419 Beale St, San Francisco, CA 94105",37.788646,-122.3921055,,Lunar Mining LLC,Netflix,Zal Batmanglij,"Zal Batmanglij, Brit Marling",Brit Marling,Emory Cohen,Patrick Gibson,53,20,2
Looking,Season 2 ep 210,2015,Mission Street @ 22nd Street,"Mission Street @ 22nd Street, San Francisco CA",37.77298,-122.39117,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,53,20,2
Chance,Season 1 ep105,2016,Private alley along 20th St. between Tennessee and Minnesota,"Private alley along 20th St. between Tennessee and Minnesota, San Francisco CA",37.758528,-122.390028,,TVM Productions,HULU,Victoria Morrow,Roxann Dawson,Hugh Laurie,Gretchen Mol,Ethan Suplee,53,20,2
Red Widow,,2013,York & 24th St.,"York & 24th St., San Francisco CA",37.754725,-122.383365,,Beyond Pix,American Broadcasting Company (ABC),Alon Aranya,Melissa Rosenberg,Radha Mitchell,Sterling Beaumon,Clifton Collins Jr.,53,20,2
Ant-Man and the Wasp,,2018,Powell St btwn North Point and Embarcadero,"8323 Powell St, San Francisco, CA 94133",37.718491,-122.480186,Location of film headquarters,"PYM Particles Productions II, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Chris McKenna,Paul Rudd,Evangeline Lilly,Michael Douglas,99,23,3
Alexander's Ragtime Band,,1938,San Francisco Bay,"San Francisco Bay, San Francisco CA",37.81548,-122.438507,,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Henry King,Kathryn Scola,Tyrone Power,Alice Faye,Don Ameche,99,23,3
Getting Even with Dad,,1994,California & Grant Streets,"California & Grant Streets, San Francisco CA",37.754648,-122.434713,,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Howard Dutch,Tom S. Parker,Macaulay Culkin,Ted Danson,,104,6,3
Dawn of the Planet of the Apes,,2014,California & Powell,"California & Powell, San Francisco CA",37.754648,-122.434713,,"Fox Louisiana Productions, LLC",Twentieth Century Fox,Matt Reeves,Rick Jaffa,Gary Oldman,Keri Russell,Andy Serkis,16,6,3
Sonic the Hedgehog,,2020,California btwn Powell and Front,"California btwn Powell and Front, San Francisco CA",37.754648,-122.434713,,"Paramount Overseas Productions, Inc.",Paramount Pictures,Jeff Fowler,"Josh Miller, Patrick Casey, Oren Uziel",Jim Carrey,James Marsden,Ben Schwartz,108,8,3
Super Pumped: The Battle for Uber,,2022,California Street at Sansome Street,"California St & Sansome Street, San Francisco CA",37.754648,-122.434713,,Possible Productions,Showtime,"Allen Coulter, Daniel Gray Longino, John Dahl, Zetna Fuentes","Brian Koppelman & David Levien, Sarah Acosta, Stephen Schiff, Emily Hornsby, Safie M. Dirie, Beth Schacter",Joseph Gordon-Levitt,Kyle Chandler,Kerry Bishé,108,8,3
Ant-Man,,2015,Intersection of California at Polk,"Intersection of California at Polk, San Francisco CA",37.754648,-122.434713,Driving shots,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari,Michael Douglas,Paul Rudd,,105,21,3
D.O.A,,1950,Powell & California Streets,"Powell & California Streets, San Francisco CA",37.754648,-122.434713,,Cardinal Pictures,United Artists,Rudolph Mate,Russell Rouse,Edmond O'Brien,Pamela Britton,Luther Adler,16,6,3
When a Man Loves a Woman,,1994,"Victor's Restaurant, The Westin St. Francis Hotel (335 Powell Street)","Victor's Restaurant, The Westin St. Francis Hotel (335 Powell Street), San Francisco CA",37.782926,-122.428998,"The hotel was originally supposed to be named the Crocker Hotel, after Charles Founder the railroad magnate who founded it. However, the hotel took the name the St. Francis after one of the earliest Gold Rush hotels.",Touchstone Pictures,Buena Vista Pictures,Luis Mandoki,Ronald Bass,Andy Garcia,Meg Ryan,,19,36,3
Godzilla,,2014,Embarcadero & Washington,"1 Washington St, San Francisco, CA 94111",37.79263,-122.42835,,"Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,77,8,3
Chance,Season 2,2017,Sacramento between Mason and Taylor St,"1152-1172 Sacramento St, San Francisco, CA 94108",37.790398,-122.4278747,,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,16,21,3
Big Eyes,,2014,Way Faire Inn on Leidesdorff,"Way Faire Inn on Leidesdorff, San Francisco CA",37.777504,-122.423897,,Blink & Wink Productions,Weinstein Company,Tim Burton,Scott Alexander,Amy Adams,Krysten Ritter,Christoph Waltz,108,8,3
So I Married an Axe Murderer,,1993,"1462 Grant Avenue, at Union Street","1462 Grant Avenue, at Union Street, San Francisco CA",37.79892,-122.42337,,TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,,106,23,3
Mrs. Doubtfire,,1993,Danilo's Bakery (Green Street & Bannam Place),"Danilo's Bakery (Green Street & Bannam Place), San Francisco CA",37.79745,-122.42316,,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Chris Columbus,Randi Mayem Singer,Robin Williams,Sally Field,Pierce Brosnan,106,23,3
The Bachelor,,1999,Danilo's Bakery (Green Street & Bannam Place),"Danilo's Bakery (Green Street & Bannam Place), San Francisco CA",37.79745,-122.42316,,George Street Pictures,New Line Cinema,Gary Sinyor,Steve Cohen,Chris O'Donnell,Renee Zellweger,,106,23,3
Alcatraz,,2012,Francisco St from Larkin to Polk,"1040 Francisco St, San Francisco, CA 94109",37.803818,-122.422432,,Bonanza Productions Inc.,Warner Bros. Television,J.J. Abrams,Steven Lilien,Sarah Jones,Jorge Garcia,,106,23,3
The Diary of a Teenage Girl,,2015,The Royal Oak,"2201 Polk St, San Francisco, CA 94109",37.79701,-122.422242,,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni,,,3
Venom,,2018,Pine/Kearny,"499-491 Pine St, San Francisco, CA 94104",37.78943,-122.42149,,"L.O.Z. Productions, Inc.","Columbia Pictures, Sony Pictures Releasing",Ruben Fleischer,"Jeff Pinkner, Scott Rosenberg",Tom Hardy,Michelle Wiliams,Riz Ahmed,,,3
Jexi,,2019,Regency Ballroom - 1290 Sutter St,"Regency Ballroom - 1290 Sutter St, San Francisco CA",37.787866,-122.421446,,CBS Films Inc.,Lionsgate,"Jon Lucas, Scott Moore","Jon Lucas, Scott Moore",Adam Devine,Alexandra Shipp,Michael Pena,50,21,3
Swing,,2003,Regency Ballroom - 1290 Sutter St,"Regency Building (1290 Sutter Street), San Francisco CA",37.787866,-122.421446,,unlisted,Crazy Dreams Entertainment,Martin Guigui,Mary Keil,Constance Brenneman,,,50,21,3
Boys and Girls,,2000,Aquatic Park (Jefferson Street),"501 Jefferson St, San Francisco, CA 94109",37.807602,-122.420568,"Located at one end of Fisherman's Wharf, Aquatic Park was built as part of FDR's Works Progress Administration Project.",Punch 21 Productions,Dimension Films,Robert Iscove,The Drews,"Freddie Prinze, Jr.",Alyson Hannigan,,99,23,3
"Play it Again, Sam",,1972,Aquatic Park (Jefferson Street),"599-501 Jefferson St, San Francisco, CA 94109",37.807602,-122.420568,"Located at one end of Fisherman's Wharf, Aquatic Park was built as part of FDR's Works Progress Administration Project.",Paramount Pictures,Paramount Pictures,Herbert Ross,Woody Allen,Woody Allen,Diane Keaton,Tony Roberts,99,23,3
Looking,Special,2016,"Encore Karaoke, 1550 California Street","Encore Karaoke, 1550 California Street, San Francisco CA",37.790911,-122.420057,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,105,21,3
Jexi,,2019,Hyde btwn Jefferson and Broadway - Cable Car Line,"2238 Hyde St, San Francisco, CA 94109",37.801521,-122.4193,,CBS Films Inc.,Lionsgate,"Jon Lucas, Scott Moore","Jon Lucas, Scott Moore",Adam Devine,Alexandra Shipp,Michael Pena,107,21,3
Foul Play,,1978,California & Larkin Streets (Nob Hill),"1403 Larkin St, San Francisco, CA 94109",37.79125,-122.41925,,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Burgess Meredith,105,21,3
Terminator - Genisys,,2015,California & Larkin Streets (Nob Hill),"1403 Larkin St, San Francisco, CA 94109",37.79125,-122.41925,,T5 Productions LLC,Paramount Pictures,Alan Taylor,James Cameron,Arnold Schwarzenegger,Jason Clarke,,105,21,3
Looking,Season 2 ep 204,2015,"Larkin Street Youth Services, 1138 Sutter Street","Larken Street Youth Services, 1138 Sutter Street, San Francisco CA",37.788141,-122.419235,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,50,21,3
Venom,,2018,Hemlock Alley btwn Polk and Larkin,"50 Hemlock St, San Francisco, CA 94109",37.787402,-122.419215,,"L.O.Z. Productions, Inc.","Columbia Pictures, Sony Pictures Releasing",Ruben Fleischer,"Jeff Pinkner, Scott Rosenberg",Tom Hardy,Michelle Wiliams,Riz Ahmed,50,21,3
Surface,,2022,Francisco Street between Leavenworth and Hyde,"828 Francisco St, San Francisco, CA 94109",37.80429,-122.418885,,"Apple Studios, LLC",Apple TV+,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates","Veronica West, Erica L. Anderson,Tony Saltzman, Glenise Mullins, Leigh Ann Biety, Dan Lee West, Leigh Ann Biety & Raven Jackson, Martín Zimmerman",Gugu Mbatha-Raw,Oliver Jackson-Cohen,Ari Graynor,106,23,3
When a Man Loves a Woman,,1994,Spring Valley School (1451 Jackson Street),"1451 Jackson St, San Francisco, CA 94109",37.794016,-122.418834,,Touchstone Pictures,Buena Vista Pictures,Luis Mandoki,Ronald Bass,Andy Garcia,Meg Ryan,,16,32,3
Alcatraz,,2012,Chestnut St. from Larkin to Columbus,"900 Chestnut St, San Francisco, CA 94109",37.803379,-122.418496,,Bonanza Productions Inc.,Warner Bros. Television,J.J. Abrams,Steven Lilien,Sarah Jones,Jorge Garcia,,106,23,3
Dawn of the Planet of the Apes,,2014,Filbert St. from Hyde to Leavenworth,"1150 Filbert St, San Francisco, CA 94109",37.800513,-122.418488,,"Fox Louisiana Productions, LLC",Twentieth Century Fox,Matt Reeves,Rick Jaffa,Gary Oldman,Keri Russell,Andy Serkis,107,32,3
The OA Part II,,2019,Hyde St at Pacific to Washington St,"1525 Hyde St, San Francisco, CA 94109",37.794871,-122.41839,,Lunar Mining LLC,Netflix,Zal Batmanglij,"Zal Batmanglij, Brit Marling",Brit Marling,Emory Cohen,Patrick Gibson,16,32,3
Surface,,2022,Leavenworth Street between Greenwich and Filbert,"2127 Leavenworth St, San Francisco, CA 94133",37.80067,-122.417971,,"Apple Studios, LLC",Apple TV+,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates","Veronica West, Erica L. Anderson,Tony Saltzman, Glenise Mullins, Leigh Ann Biety, Dan Lee West, Leigh Ann Biety & Raven Jackson, Martín Zimmerman",Gugu Mbatha-Raw,Oliver Jackson-Cohen,Ari Graynor,18,23,3
Petulia,,1968,Cala Foods (California Street and Hyde),"1095 Hyde St, San Francisco, CA 94109",37.790643,-122.417943,,Warner Brothers / Seven Arts,Warner Brothers / Seven Arts,Richard Lester,Lawrence B. Marcus,Julie Christie,George C. Scott,Richard Chamberlain,16,21,3
Chance,Season 2,2017,Union St at Leavenworth St,"1120 Union St, San Francisco, CA 94109",37.799638,-122.417879,,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,107,32,3
Foul Play,,1978,Sacramento & Hyde Streets (Nob Hill),"1205 Hyde St, San Francisco, CA 94109",37.792009,-122.417852,,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Burgess Meredith,16,21,3
Sphere,,1998,S.S. Jeremiah O'Brien,"S.S. Jeremiah O'Brien, San Francisco CA",37.810912,-122.417842,,Constant c Productions,Warner brothers Pictures,Barry Levinson,Kurt Wimmer,Dustin Hoffman,Sharon Stone,,99,23,3
San Andreas,,2015,Pier 43,"Pier 43, San Francisco CA",37.808098,-122.417746,Bystanders watch as a tsunami crashes over them,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb,Dwayne Johnson,,,99,23,3
The OA Part II,,2019,Pier 43,"Pier 43, San Francisco CA",37.808098,-122.417746,,Lunar Mining LLC,Netflix,Zal Batmanglij,"Zal Batmanglij, Brit Marling",Brit Marling,Emory Cohen,Patrick Gibson,99,23,3
The OA Part II,,2019,Broadway Tunnel,"1046-1142 Robert C Levy Tunnel, San Francisco, CA 94133",37.796404,-122.417733,,Lunar Mining LLC,Netflix,Zal Batmanglij,"Zal Batmanglij, Brit Marling",Brit Marling,Emory Cohen,Patrick Gibson,107,21,3
The Princess Diaries,,2001,Broadway Tunnel,"Robert C Levy Tunnel, San Francisco, CA 94133",37.796404,-122.417733,,Walt Disney Pictures,Buena Vista Pictures,Garry Marshall,Gina Wendkos,Julie Andrews,Anne Hathway,,107,21,3
Invasion of the Body Snatchers,,1978,Broadway Tunnel,"1046-1142 Robert C Levy Tunnel, San Francisco, CA 94133",37.796404,-122.417733,,Solofilm,United Artists,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,Brooke Adams,107,21,3
